FourFactorsRAPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
playerId,playerName,LA_RAPM,LA_RAPM_Rank,LA_RAPM__Def,LA_RAPM__Def_Rank,LA_RAPM__Off,LA_RAPM__Off_Rank,RA_EFG,RA_EFG_Rank,RA_EFG__Def,RA_EFG__Def_Rank,RA_EFG__Off,RA_EFG__Off_Rank,RA_FTR,RA_FTR_Rank,RA_FTR__Def,RA_FTR__Def_Rank,RA_FTR__Off,RA_FTR__Off_Rank,RA_ORBD,RA_ORBD_Rank,RA_ORBD__Def,RA_ORBD__Def_Rank,RA_ORBD__Off,RA_ORBD__Off_Rank,RA_TOV,RA_TOV_Rank,RA_TOV__Def,RA_TOV__Def_Rank,RA_TOV__Off,RA_TOV__Off_Rank,RAPM,RAPM_Rank,RAPM__Def,RAPM__Def_Rank,RAPM__Off,RAPM__Off_Rank,season,teamId,teamName,primaryKey,playerRole
1627783,Pascal Siakam,2.91,25,1.35,47,1.56,45,2.24,16,1.21,18,1.04,42,-0.86,513,-0.31,453,-0.55,498,0.91,162,0.42,210,0.49,203,0.64,102,0.06,312,0.58,57,4.72,12,2.45,14,2.26,34,2018-21,-1,N/A,1627783_2018-21,No Role Available
1627745,Damian Jones,-2.05,727,-1.32,721,-0.73,618,-1.08,699,-1.17,748,0.09,258,-2.41,686,0.42,255,-2.83,733,-1.3,635,-0.54,569,-0.76,596,-0.46,605,0.22,194,-0.68,713,-2.88,734,-1.8,727,-1.08,645,2018-21,-1,N/A,1627745_2018-21,No Role Available
101108,Chris Paul,4.33,8,1.8,26,2.52,20,1.64,30,0.28,175,1.36,24,0.21,322,2.39,53,-2.18,702,-0.97,584,-0.14,444,-0.83,609,2.23,1,1.13,10,1.1,6,5.43,7,2.28,19,3.15,18,2018-21,-1,N/A,101108_2018-21,No Role Available
1629745,Tariq Owens,-0.28,439,-0.2,475,-0.08,387,-0.12,413,-0.09,443,-0.03,350,0.15,333,0.26,290,-0.12,388,-0.46,468,-0.32,512,-0.14,418,0.08,334,0.03,338,0.05,324,-0.28,440,-0.16,445,-0.12,394,2018-21,-1,N/A,1629745_2018-21,No Role Available
1626245,Cristiano Felicio,-0.93,606,-1.18,711,0.25,234,-1.16,710,-1.17,747,0.01,315,2.89,62,2.37,54,0.51,240,2.52,44,-0.37,529,2.89,14,-0.79,677,-0.19,524,-0.6,695,-1.53,655,-1.83,731,0.3,226,2018-21,-1,N/A,1626245_2018-21,No Role Available
1629750,Javonte Green,-0.59,530,-0.07,400,-0.52,557,0.29,212,-0.36,597,0.65,92,-2.49,694,-1.87,680,-0.62,517,-0.12,394,-0.05,397,-0.07,389,0.11,310,0.49,96,-0.37,624,-0.17,407,-0.19,466,0.02,317,2018-21,-1,N/A,1629750_2018-21,No Role Available
1626154,RJ Hunter,0.58,186,0.25,233,0.33,205,0.3,209,0.23,200,0.08,267,0.63,248,0.4,259,0.23,290,0.17,306,-0.25,489,0.43,214,0.21,253,-0.04,408,0.25,180,0.6,207,0.3,224,0.31,223,2018-21,-1,N/A,1626154_2018-21,No Role Available
101112,Channing Frye,-1.77,708,-0.95,679,-0.82,639,-1.6,743,-0.87,726,-0.73,696,0.94,210,0.84,168,0.1,310,-2.67,735,-1.27,711,-1.4,698,0.31,202,-0.25,567,0.56,61,-2.44,719,-1.59,716,-0.85,607,2018-21,-1,N/A,101112_2018-21,No Role Available
1627750,Jamal Murray,1.44,85,0.17,267,1.27,64,1.49,37,0.42,122,1.07,38,0.49,270,-0.23,434,0.71,203,0.41,239,-0.65,604,1.06,86,0.16,286,0.05,313,0.1,299,3.43,25,0.86,121,2.57,25,2018-21,-1,N/A,1627750_2018-21,No Role Available
203705,Josh Magette,0.18,267,0.23,236,-0.05,374,-0.05,371,0.13,270,-0.17,458,0.46,276,0.08,345,0.38,263,0.14,319,-0.37,530,0.51,196,0.12,304,0.17,229,-0.05,440,0.04,318,0.26,236,-0.23,439,2018-21,-1,N/A,203705_2018-21,No Role Available
